id,title,original_title,description,v_picture,h_picture,premiere_date,rating_avg,rate_imdb,rate_kinopoisk,duration_minutes,age_limit,view_count,genres,actors,directors,countries,categories,favorite_for,need_to_see,trailer_link
125,Тибра,,"Девочка-изгой уверяет всех, что маленькую Катю похитило чудовище. Мистический триллер о подростковом буллинге",images/movies/тибра_вертикаль.webp,images/movies/тибра_горизонталь.webp,2022-01-01,0.0,0.0,6.1,84,18,35,11,"795,791,793,794,792,796,798,799,797",121,2,1,"d4c72276-946f-4776-91f3-afed5d53df48,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,b53954b0-4332-4aeb-ab11-fcdcec07c046,9a6b7d04-d8e2-454e-9b5d-65d10a425089,92102d34-2334-422a-949f-6cf87b415b10",https://youtube.com/embed/7ES3eT3sIWg
70,Боудика — королева воинов,Boudica: Rise of the Warrior Queen,"Вождь кельтского клана хочет отдать свою шестнадцатилетнюю дочь Боудику в брак по расчету. Но ее мать делает все возможное, чтобы защитить ее. Она убеждает Боудику бежать из деревни и укрыться в доме, где прошло ее детство. Боудика понимает, что прошлое однажды настигнет ее, и к этому времени она должна превратиться из простой девушки в королеву-воительницу, чтобы защитить всех, кого любит.",images/movies/Боудика_королева_воинов_вертикальная.webp,images/movies/Боудика_королева_воинов_горизонтальная_доработать.webp,2019-01-01,0.0,3.1,4.9,82,18,55,16,"446,448,447,445,444",74,6,1,"d4c72276-946f-4776-91f3-afed5d53df48,5018f760-a526-42ff-bf8e-47d439a48790,4a01ed61-cf28-4ec2-aa18-a97a2462bd74,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae",www.youtube.com/embed/4QsUtK-d29I
115,Почти как люди,Humains,"Французский профессор-антрополог находит информацию о том, что советский ученый еще до второй мировой войны обнаружил в Альпах череп неандертальца, возрастом не 100000 лет как должно быть, а всего лишь 300 лет! Ученый погиб в горниле войны и об его находке все забыли.
Французский ученый решает отправиться в экспедицию в Альпы чтобы доказать тот факт, что неандертальцы могли дожить до сегодняшних дней. В экспедицию он берет своего сына и свою бывшую студентку. На горной дороге они подбирают семью туристов, путешествующих в этом районе и вскоре попадают в аварию.
Машина, разбив ограждение, срывается в пропасть, профессор погибает, а оставшиеся в живых должны найти выход из ущелья, в которое они попали. Борьба со стихией перерастает в борьбу за выживание, когда заблудившихся героев начинает преследовать нечто или некто...",images/movies/почти_как_люди_вертикаль.webp,images/movies/почти_как_люди_горизонталь.webp,2009-01-01,0.0,3.5,4.3,90,16,45,"11,10,7,6","704,711,708,703,710,709,705,702,707,706","112,113","20,5,19",1,d4c72276-946f-4776-91f3-afed5d53df48,"de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b",https://youtube.com/embed/cbHvF-DI0qg
113,Азбука смерти,The ABCs of Death,"Режиссеры из разных стран выбирает себе букву алфавита и слово, начинающееся на эту букву. Вокруг них и должен строиться сюжет каждой истории. Зрители станут свидетелями самых изощренных убийств по алфавиту от A до Z.",images/movies/азбука_смерти_вертикаль.webp,images/movies/азбука_смерти_горизонталь.webp,2012-01-01,0.0,4.7,4.2,129,18,26,"10,1","685,686,687,689,684,688,691,690,683","109,108,110","18,1",1,"d4c72276-946f-4776-91f3-afed5d53df48,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,5018f760-a526-42ff-bf8e-47d439a48790,1b8fd4c0-f30f-4dcd-952b-000431d86e0a","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b",https://youtube.com/embed/jFryS_mxDx0
116,Изображение смерти,Imago mortis,"В начале XVII века, задолго до изобретения фотографии, итальянский учёный Джироламо был одержим идеей точного запечатления момента времени в картинке. Опытным путём Джироламо выяснил, что на сетчатке только что убитого человека отображается последний виденный им перед смертью образ, который после хирургического отделения сетчатки можно перенести на бумагу. Сам Джироламо назвал этот изуверский способ танатографией. Спустя несколько сотен лет в современном европейском институте кинематографии начинают происходить убийства, имеющие подозрительно много общего с танатографическими изысканиями Джироламо.",images/movies/изображение_смерти_вертикаль.webp,images/movies/изображение_смерти_горизонталь.webp,2009-01-01,0.0,4.8,5.5,97,18,27,"12,11,10","717,712,715,719,720,714,721,718,713,716",114,"22,3,21",1,"d4c72276-946f-4776-91f3-afed5d53df48,5018f760-a526-42ff-bf8e-47d439a48790,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,5018f760-a526-42ff-bf8e-47d439a48790",-
17,Кто там,Knock Knock,Архитектор не проходит проверку на верность и будет за это наказан. Триллер режиссера «Хостела» с Киану Ривзом,images/movies/кто_там_вертикаль.webp,images/movies/кто_там_горизонтальная.webp,2014-01-01,0.0,4.9,5.6,100,18,181,11,"117,106,122,119,118,115,121,116,120,124",18,1,1,"d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e","d4c72276-946f-4776-91f3-afed5d53df48,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,53cb716d-3187-49ec-bc24-3623390d4c25",https://youtube.com/embed/ExugutRLwfI
124,На краю,The Ledge,Альпинистка спасается от убийц на склоне опасной скалы. Головокружительный триллер от продюсера «Эвереста»,images/movies/на_краю_вертикаль.webp,images/movies/на_краю_горизонталь.webp,2022-01-01,0.0,5.1,6.0,86,18,20,11,"788,785,784,789,790,786,787",120,6,1,"d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046",d4c72276-946f-4776-91f3-afed5d53df48,https://youtube.com/embed/67NRMU26em8
15,Покер Фейс,Poker Face,"Покер — опасная игра. И часто от нее зависят человеческие жизни. На одну, казалось бы, дружескую партию Джейк собирает в своем особняке друзей детства, чтобы наконец воздать каждому по заслугам. Но ставки мгновенно возрастают, когда на дом эксцентричного миллиардера нападают неизвестные. Теперь на кону не только богатства, но и жизни.",images/movies/покер_фейс_вертикаль.webp,images/movies/покерфейс_горизонталь.webp,2022-01-01,0.0,5.1,5.5,95,18,256,"13,11,6","99,100,103,102,98,104,97,101",16,1,1,d4c72276-946f-4776-91f3-afed5d53df48,"d4c72276-946f-4776-91f3-afed5d53df48,53cb716d-3187-49ec-bc24-3623390d4c25,124dc59c-3133-45a2-99c6-820543bee419",https://youtube.com/embed/IhV8pKyk4Pc
114,Юленька,,"Андрей Белов переезжает с семьей из столицы в провинциальный город. Ради здоровья любимой он меняет работу университетского преподавателя на место классного руководителя в женской гимназии. Белов быстро понимает — с его классом что-то не так. За круговой порукой молчания скрывается странная и страшная тайна. Эти пятиклассницы не играют в куклы — они играют человеческими жизнями. Сигналом к действию для Андрея станет записка «Спасите нас!», найденная в школьном дневнике.
Постепенно жизнь Белова превращается в кошмар. Все его чувства, эмоции и поступки искажаются под призмой страха. Зло отравляет все его существование, медленно и изощренно отбирает все самое дорогое. И удастся ли ему выбраться из этого кошмара, зависит только от одной маленькой девочки. А она просто хочет, чтобы мама была счастлива.",images/movies/юленька_вертикаль.webp,images/movies/юленька_горизонталь.webp,2008-01-01,0.0,5.1,4.8,102,16,16,"11,10,9","700,697,696,693,701,695,692,694,698,699",111,2,1,"d4c72276-946f-4776-91f3-afed5d53df48,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c","d4c72276-946f-4776-91f3-afed5d53df48,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae",https://youtube.com/embed/hgddmx9vVq8
40,Элвин и бурундуки,Alvin and the Chipmunks,"Жизнь композитора была одной черной полосой до тех пор, пока он не встретил трех живых поющих бурундуков: лидера Элвина, гения Саймона и феерического Теодора. Поначалу они плохо уживаются вместе, но в конце концов Дэйв принимает бурундуков и даже становится менеджером их рок-группы, которая собирает стадионы поклонников.",images/movies/Элвин_и_бурундуки_вертикальная.webp,images/movies/Элвин_и_бурундуки_горизонтальная.webp,2007-12-13,0.0,5.2,6.2,87,6,378,"8,1","294,293,290,296,291,299,292,295,298,297",44,1,1,"d4c72276-946f-4776-91f3-afed5d53df48,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,124dc59c-3133-45a2-99c6-820543bee419","d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,53cb716d-3187-49ec-bc24-3623390d4c25",https://youtube.com/embed/n0PhbTNNB7k
134,Рубеж выживания,Last Sentinel,Дозорные заперты на военной базе в океане из-за таинственного исчезновения сменщиков. Триллер с Кейт Босворт,images/movies/рубеж_вертикаль_6.webp,images/movies/_7_11zon.webp,2023-01-01,0.0,5.4,5.0,117,18,10,"11,9,4","865,866,861,862,863,868,864,867",127,6,1,,,https://youtube.com/embed/9xQIxfprzEY
117,Эта замечательная загробная жизнь,It's a Wonderful Afterlife,"Типичная индуистская семья, проживающая в Англии. Мама, патриарх этой семьи, так хочет отдать свою страшненькую дочку за хорошего парня, что становится серийным убийцей. Проблема в том, что привидения убитых ею людей не могут покинуть этот мир, пока дочь ее остается незамужней.",images/movies/этазамечательнаязагробнаяжизнь_вертикаль.webp,images/movies/этазамеч_загроб_жизнь_вертикаль.webp,2009-01-01,0.0,5.4,5.7,95,12,12,"10,9,2,1","731,729,725,727,722,730,726,724,723,728",115,6,1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,,-
16,Глубокие воды,Deep Water,"На первый взгляд у Вика и Мелинды есть всё, о чём можно мечтать — очаровательная дочка, роскошный дом и успешные друзья. Но их брак превратился в порочную игру, где она намеренно не скрывает свои измены, а он прощает ей всё. Когда одного из её любовников находят мертвым, супругов все сильнее затягивают глубокие воды подозрений и лжи.",images/movies/глубокие_воды_вертикаль.webp,images/movies/глубокие_воды_горизонталь.webp,2022-01-01,0.0,5.5,5.7,115,18,219,"12,11,9","106,105,114,108,112,109,111,113,110,107",17,"11,1",1,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,https://youtube.com/embed/ZxqD1OgXllE
69,Король Радбод: последний викинг,Redbad,"История борьбы за власть и войны между фризским королём Радбодом и его заклятым врагом, майордомом франков Пипином.",images/movies/Король_Радбод_последний_викинг_вертикальная.webp,images/movies/Король_Радбод_последний_викинг_горизонтальная.webp,2018-01-01,0.0,5.5,6.4,160,18,21,"16,14","443,440,442,441,187",73,6,1,"b4399a0d-47b5-4fdf-8210-6bda5a678136,5018f760-a526-42ff-bf8e-47d439a48790",,https://www.youtube.com/embed/qIIGyZjBVIw?si=btEGaZiXNukQoNH5
33,Хроники Панголинов,The Secret Kingdom,"В один прекрасный день жизнь Верити и Питера переворачивается с ног на голову, когда пол в их комнате внезапно рушится, и они падают в подземный мир. Там они узнают, что с Питером связано таинственное предсказание. Только он сможет перезапустить время, спасти мир от существа, питающегося страхом и вернуться с сестрой домой.",images/movies/Хроники_панголинов_вертикальная.webp,images/movies/Хроники_панголинов_горизонтальная.webp,2022-01-01,0.0,5.5,6.9,99,12,261,"8,7","232,236,237,233,235",33,11,1,"5b95b64a-f72b-428a-87fe-2a49ac0ba12e,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,1b8fd4c0-f30f-4dcd-952b-000431d86e0a","c8850036-31f8-4063-8a21-5ee4764ccb8b,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,124dc59c-3133-45a2-99c6-820543bee419",https://youtube.com/embed/1VHHZeQCdZg
39,101 далматинец,101 Dalmatians,"Эта забавная история произошла в Англии на Рождество... Злодейка Круэлла Дэ Вил решает украсть ровно 101 далматинца, чтобы пополнить коллекцию своих меховых изделий. Однако она еще не представляет, что ее ждет, ведь хозяева и родители маленьких пятнистых щенков не будут сидеть сложа руки...",images/movies/101_долматинец_вертикальная.webp,images/movies/101_долматинец_гор.webp,1961-01-25,0.0,5.7,6.8,103,6,95,"13,8,7,1","281,282,283,286,41,289,285,287,284,288",43,"6,1",1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,https://youtube.com/embed/VApVpvcGW1A
60,Бандитки,Bandidas,"Мексика, 1888 год. Две очаровательные налетчицы – образованная европейка и грубоватая мексиканка - наводят ужас на банки Дикого Запада. Никто не может противостоять их изобретательности и неустрашимости. И, тем более, никто не может устоять перед их красотой.",images/movies/Бандитки_вертикальная.webp,images/movies/Бандитки_горизонтальная.webp,2006-01-18,0.0,5.7,6.7,93,12,32,"17,13,6,1","404,405,401,402,403","65,66","16,1,5",1,"92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,1b8fd4c0-f30f-4dcd-952b-000431d86e0a",58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,https://www.youtube.com/embed/vpUcN3fVXeg?si=SOot5upRiyPHqc6W
38,Чебурашка,,"Иногда, чтобы вернуть солнце и улыбки в мир взрослых, нужен один маленький ушастый герой. Мохнатого непоседливого зверька из далекой апельсиновой страны ждут удивительные приключения в тихом приморском городке, где ему предстоит найти себе имя, друзей и дом.

Помогать — и мешать! — ему в этом будут нелюдимый старик-садовник, странная тетя-модница и ее капризная внучка, мальчик, который никак не начнет говорить, и его мама, которой приходится несладко, хотя она и варит самый вкусный на свете шоколад. И многие-многие другие, в чью жизнь вместе с ароматом апельсинов вот-вот ворвутся волшебство и приключения.",images/movies/Чебурашка_вертикальная.webp,images/movies/Чебурашка_горизонтальная.webp,2023-01-01,0.0,5.8,7.3,113,6,242,"8,1","277,280,276,279,272,273,271,275,278,274",42,2,1,"aa0fc7c7-9875-4aa2-98ab-410f68df2277,5018f760-a526-42ff-bf8e-47d439a48790,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,1b8fd4c0-f30f-4dcd-952b-000431d86e0a","aa0fc7c7-9875-4aa2-98ab-410f68df2277,124dc59c-3133-45a2-99c6-820543bee419",https://youtube.com/embed/x1qvJL7NF9s
50,Новая игрушка,The New Toy,"11-летний Александр привык, что любой его каприз исполняется. Тем труднее ему дается выбор подарка ко дню рождения. Из всех игрушек торгового центра, он выбирает задремавшего ночного сторожа Сами. Тот соглашается провести несколько дней в доме у мальчика, боясь увольнения. Однако Сами неожиданно быстро осваивается с новой ролью. И если поначалу Александр кажется ему холодным и избалованным, то позже он замечает, что мальчик просто очень одинок и нуждается в близком человеке рядом.",images/movies/Новая_игрушка_вертикальная.webp,images/movies/Новая_игрушка_горизонтальная.webp,2022-01-01,0.0,5.9,6.7,112,12,79,1,"359,360,357,356,358",55,5,1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,https://youtube.com/embed/zyF9f8Vg1ck
142,Флирт с дьяволом,Shattered,"Богатый и разведенный Крис влюбляется в таинственную женщину по имени Скай. Вскоре после этого он, его бывшая жена и их ребёнок оказываются в ловушке — им предстоит отчаянная борьба за выживание.",images/movies/флирт_с_дьяволом_вертикаль.webp,images/movies/флирт_с_дьяволом_горизонталь.webp,2021-01-01,0.0,6.0,5.0,91,18,3,11,"930,929,228,931,923,925,927,926,924,928",135,"12,1,19",1,,,https://youtube.com/embed/OwUncUM-Kvg
123,Костяной домик,Little Bone Lodge,"Женщина с дочерью-подростком и парализованным мужем тихо живёт на отдалённой ферме, пока одной ненастной ночью ей не приходится помочь раненому в автоаварии незнакомцу, которого притащил к её дому его младший брат. События принимают крутой поворот, когда выясняется, что братья — разыскиваемые преступники, и самой хозяйке дома есть, что скрывать.",images/movies/костяной_домки_вертикаль.webp,images/movies/костяной_домик_горизонталь.webp,2023-01-01,0.0,6.1,5.7,95,18,23,"13,11","777,781,41,780,782,775,778,776,783,779",119,6,1,a299ad6b-fa37-413b-8cb8-fad5051689de,a299ad6b-fa37-413b-8cb8-fad5051689de,https://youtube.com/embed/OZdtupMIG1k
49,Очень плохие мамочки,Bad Moms,"Идеальная мать, прекрасная жена, хорошая домохозяйка с успешной карьерой… Но стоит немного расслабиться, как тебе сразу напоминают о твоих обязанностях. Почему только мужчины имеют право развлекаться? Сколько же можно это терпеть?! Пора команде отчаянных мамочек пуститься во все тяжкие.",images/movies/Очень_плохие_мамочки_вертикальная.webp,images/movies/Очень_плохие_мамочки_горизонтальная.webp,2016-01-01,0.0,6.2,6.3,100,18,46,1,"355,353,354,352,351","53,54","4,1",1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,,https://youtube.com/embed/eTCKqftjp14
107,Майор Гром: Чумной доктор,,"Честный полицейский ловит мстителя в маске, убивающего коррупционеров. Супергеройское кино по комиксу Bubble",images/movies/майор_гром_вертикаль.webp,images/movies/майор_гром_горизонталь.webp,2021-01-01,0.0,6.3,7.2,136,12,20,"13,12,6,1","632,631,638,634,630,635,637,633,629,636",104,2,1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,,https://youtube.com/embed/aUi6fQRUP1o
41,Алиса в Стране чудес,Alice in Wonderland,"Жизнь 19-летней Алисы Кингсли принимает неожиданный оборот. На викторианской вечеринке, устроенной в её честь, Алисе делает предложение Хэмиш, богатый, но глупый сын лорда и леди Эскот. Не дав ответа, девушка убегает и идёт за кроликом, замеченным ею на лужайке. Кролик как кролик, вот только он одет в камзол и всё время смотрит на карманные часы.

Алиса гонится за Белым Кроликом через весь луг и видит, как он исчезает в кроличьей норе. Затем, неожиданно, Алиса падает туда сама, летит вниз по странному, сказочному туннелю и приземляется в круглом зале со множеством дверей. Выпив из бутылки с надписью «ВЫПЕЙ МЕНЯ», она уменьшается в размерах, а откусив от пирожного с надписью «СЪЕШЬ МЕНЯ» — вырастает. Наконец, миновав череду злоключений, Алиса попадает через одну из дверей в чудесный фантастический мир, который его обитатели называют Подземной страной.

Там её ждёт целый парад колоритных персонажей: хвастливая Соня, сумасшедший Шляпник, глумливый Чеширский Кот, накурившаяся кальяном гусеница по имени Абессалом, жутковатая Белая Королева и её злобная сестра, Королева Червей, вздорная и раздражительная правительница Подземной страны.",images/movies/Алиса_в_стране_чудес_вертикальная_копия.jpg,images/movies/Алиса_в_стране_чудес_горизонтальная.webp,2010-02-25,0.0,6.4,7.1,108,12,373,"12,8,7,5","305,306,215,301,303,300,302,304,136,29",45,1,1,"92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e","92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e",https://youtube.com/embed/WqMg6Y1XBWk
61,Одинокий рейнджер,The Lone Ranger,"История блюстителя закона Джона Рида, который с помощью индейца Тонто стал легендарным мстителем в маске, стоящим на защите справедливости. Тонто с юмором и небылицами повествует о тех приключениях, которые пришлось пережить двум непохожим друг на друга героям, сведенным судьбой для того, чтобы вместе сражаться против общего врага. Им приходится противостоять жадности и коррупции во времена, когда появление первых железных дорог изменило представление о власти и могуществе в мире.",images/movies/Одинокий_рейнджер_горизонтальная.webp,images/movies/Одинокий_рейнджер_горизонтальная_HDonHrH.webp,2013-06-22,0.0,6.4,6.8,149,12,27,"17,7,6,1","406,215,409,407,408",30,1,1,"92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,1b8fd4c0-f30f-4dcd-952b-000431d86e0a",2001a046-092e-4cbf-a95d-2360ee0d63a0,https://www.youtube.com/embed/9AQh1-fezzk?si=9DKB85Gx89Lt1khk
59,Быстрый и мертвый,The Quick and the Dead,"Пустыня, и посреди нее - маленький грязный городок. Здесь только женщины и больные не носят кобуры на поясе. В городе хозяйничает Джон Ирод - жестокий и хладнокровный человек. Все его боятся, и каждая собака его знает. Если он разрешил тебе - ты можешь жить.",images/movies/Быстрый_и_мертвый_вертикальная.webp,images/movies/Быстрый_и_мертвый_горизонтальная.webp,1995-02-10,0.0,6.5,7.3,108,16,9,"17,11,6","399,125,97,400,397",64,"1,7",1,,,https://www.youtube.com/embed/HovvTucruR0?si=O7V8OI8G1hjrvBss
136,Капитан Марвел,Captain Marvel,"После столкновения с враждующими инопланетными расами пилот военно-воздушных сил Кэрол Дэнверс обретает суперсилу и становится неуязвимой. Ей предстоит совладать со своими новыми способностями, чтобы противостоять могущественному врагу.",images/movies/капитан_марвел_вертикаль_25.webp,images/movies/капитан_марвел_горизонталь_26.webp,2019-01-01,0.0,6.5,6.8,123,16,15,"7,6,4","876,469,875,880,877,332,881,879,878,90","129,130","11,1",1,,,https://youtube.com/embed/2eaZUwBWJLM
104,Мистер и Миссис Смит,Mr. & Mrs. Smith,"Джон и Джейн Смит – молодая супружеская пара, ведущая мирную жизнь в пригороде. Они не так уж давно женаты, но брак уже успел им надоесть: оба хороши собой, у обоих скучная работа, и кажется, что ничего интересного в их совместной жизни не будет. Только вот и у мистера, и у миссис Смит есть по важному секрету, тщательно скрываемому от супруга. Дело в том, что оба они – высококлассные наемные убийцы, причем работают в конкурирующих организациях. 

И однажды им заказывают друг друга. Для профессионального убийцы нет слишком сложных заказов, так что супруги, возмущенные тем, как ловко их обманывали, вдохновенно подходят к заданию и начинают охоту друг на другу. И с удивлением понимают, что равны в своем мастерстве. Что может оживить супружескую жизнь лучше, чем попытки друг друга убить? Похоже, ничего. Так ли сильно мистер и его миссис хотят выполнить задание, или все-таки есть способ найти общий язык и отыскать такой выход из ситуации, который устроит обе стороны?",images/movies/мистер_и_миссис_смит_вертикаль.webp,images/movies/мистер_и_миссис_Смит_горизонталь.webp,2005-01-01,0.0,6.5,7.5,120,16,22,"13,11,6,1","607,605,135,606,375,608,609,611,610,612",101,1,1,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,,https://youtube.com/embed/l6T8_GCz2lE
111,Сайлент Хилл,Silent Hill,"Доктора не могут найти лекарство от таинственного заболевания Шэрон, но её мать Роуз отказывается отдавать ребёнка в психиатрическую лечебницу. Вместе с дочерью она отправляется в Сайлент Хилл - город, название которого Шэрон постоянно твердит во сне. Роуз убеждена, что именно здесь она найдёт ответы, в которых так нуждается.",images/movies/сайлент_хилл_вертикаль.webp,images/movies/сайлентхилл_горизонталь.webp,2006-01-01,0.0,6.5,7.2,125,18,11,"12,10","669,667,670,673,668,666,674,671,616,672",107,"8,1,5,7",1,,,https://youtube.com/embed/7C6du2wl98A
32,Человек в железной маске,The Man in the Iron Mask,"Во времена блеска и отчаяния измученной Франции король Людовик XIV вовсю наслаждается прелестями жизни, пока вся его страна голодает. Людовик, уверенный в абсолютности собственной власти, опасается лишь одного человека, способного положить конец его царствованию, - приговоренного им к пожизненному заключению и закованного в железную маску.
Но когда королевский эгоизм заходит слишком далеко, бывшие мушкетеры Атос, Портос и Арамис отваживаются спасти таинственного узника, который может стать единственной надеждой Франции на возрождение. Остается лишь вопрос: поможет ли им верный друг, славный д'Артаньян, - или будет драться против?",images/movies/человек_в_железной_маске_вертикальная.webp,images/movies/человек_в_железной_маске_горизонтальная.webp,1998-01-01,0.0,6.5,7.3,132,16,177,"16,9,7,6","231,230,227,228,229,125",32,"1,5",1,"5018f760-a526-42ff-bf8e-47d439a48790,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","c8850036-31f8-4063-8a21-5ee4764ccb8b,4a01ed61-cf28-4ec2-aa18-a97a2462bd74",https://youtube.com/embed/b_XrU9gYYo8
109,Обитель Зла,Resident Evil,Девушка с амнезией крошит армию зомби и ищет источник вируса. Хоррор с Милой Йовович по хитовой видеоигре,images/movies/обитель_зла_вертикаль.webp,images/movies/обитель_зла_горизонталь.webp,2002-01-01,0.0,6.6,7.6,100,18,10,"10,6,4","656,650,655,652,651,647,648,654,653,649",10,"12,1",1,,,https://youtube.com/embed/1M_WWja0lJQ
8,Сквозь горизонт,Event Horizon,"2047 год. Спасательный космический корабль послан к границе Солнечной системы с целью выяснить, что произошло с экипажем первого звездолета, созданного для путешествий со сверхсветовой скоростью и бесследно пропавшего. Внезапно он был обнаружен возле планеты Нептун.",images/movies/Сквозь_горизонт_вертикальная.webp,images/movies/Сквозь_горизонт_гориз.webp,1997-08-15,0.0,6.6,6.9,96,18,117,"12,11,10,4","41,40,38,42,39",10,"6,1",1,"3650935b-b38b-48c5-80bb-45dfc4757ffe,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d",3650935b-b38b-48c5-80bb-45dfc4757ffe,https://www.youtube.com/embed/2nlkEY-3CMI
