id,sex,date_of_birth,fav_genres,fav_genres
fb71a023-2fd4-4503-9343-2517a85583c4,,0,,
f82405e8-bb0d-49c2-8a8f-b0e59e0ce3c9,,0,,
f740d32e-cf84-4114-a283-d066f94fe450,,0,Фэнтези Мультфильм Мелодрама Комедия,5 3 2 1
ea9b88a1-d517-4de5-b1af-c721a1f5f432,,0,История Драма Приключения,16 9 7
e6882426-86f3-4368-8cda-01aab24ca1a0,,0,Биография Триллер Фантастика Комедия,14 11 4 1
e46d62ff-0574-4fc8-b33c-666dc08129dc,Female,31,Семейный Приключения Фэнтези Фантастика Комедия,8 7 5 4 1
de14e808-7cfd-4b90-82f6-624664ed2e4b,Female,0,Криминал Детектив Ужасы Драма,13 12 10 9
d9923e0c-31de-416f-a736-8f8bae0102e9,Male,40,Триллер Ужасы Драма Боевик Фантастика,11 10 9 6 4
d64edc4d-8d46-4e1c-bcb9-4bf6b592067d,,0,Боевик Фэнтези Фантастика,6 5 4
d4c72276-946f-4776-91f3-afed5d53df48,Female,24,Мелодрама Комедия,2 1
cce29219-fc5d-41a8-aae1-b0715ec21f37,,0,Драма Фэнтези Комедия,9 5 1
c8850036-31f8-4063-8a21-5ee4764ccb8b,,0,Аниме Биография Драма Семейный Приключения Боевик Мультфильм Комедия,15 14 9 8 7 6 3 1
c6143af0-43f5-430b-80f6-3668e5fde415,,0,,
c4c7a134-c23d-4b11-8d24-9db3be4939e8,,0,,
c4b84533-5558-4398-bb65-abf9bc5430df,,0,,
c1e9404d-1e08-4657-96b0-c1972114ce27,,0,,
ba974c9e-a0ba-4c62-92ad-b1066531ce20,,0,,
ba5b7005-9690-4b61-96fd-81301b0651ac,,0,,
ba2e008a-14d7-48ee-91a7-80cbde9cbafd,Male,0,Вестерн Криминал Детектив Фантастика,17 13 12 4
b982c079-49b8-4c71-bb65-2a4edfd7fa45,Female,21,Фэнтези Фантастика Мультфильм Мелодрама,5 4 3 2
b86e2d93-bbb2-420f-b1c6-1e8c6377f97c,Female,30,Криминал Фантастика Мультфильм,13 4 3
b712b896-6090-49b9-8d8f-4874cbd4013d,,0,Приключения Фантастика Комедия,7 4 1
b67db358-3146-4bb0-82f1-3a87e9f4451a,,0,,
b53954b0-4332-4aeb-ab11-fcdcec07c046,Female,27,Аниме Триллер Ужасы Приключения,15 11 10 7
b4d01943-e7b5-4a59-973d-97a087ab95ec,,0,Аниме Фэнтези,15 5
b45675e5-978f-4d10-b0a7-2269d2bd8b9c,,0,,
b4399a0d-47b5-4fdf-8210-6bda5a678136,,0,Фэнтези,5
aa0fc7c7-9875-4aa2-98ab-410f68df2277,,0,Семейный,8
a9f99625-5b69-4d08-bb71-2c32d9fecff8,,0,Комедия,1
a62ca8fb-ea23-480f-a094-c1845f98e22d,,23,Ужасы,10
a2ed4963-1d72-45c0-996c-a83a951769d3,,0,Аниме Фэнтези Комедия,15 5 1
a299ad6b-fa37-413b-8cb8-fad5051689de,,0,Аниме Триллер Ужасы,15 11 10
9cb9d289-654b-4105-a032-e7aeae4a2145,Male,39,Вестерн Триллер Боевик Фэнтези Фантастика,17 11 6 5 4
9a6b7d04-d8e2-454e-9b5d-65d10a425089,Male,0,Мелодрама Мультфильм Фантастика Фэнтези Боевик Приключения Комедия Семейный Драма Ужасы Триллер Детектив Криминал Биография Аниме История Вестерн,2 3 4 5 6 7 1 8 9 10 11 12 13 14 15 16 17
92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,,0,Мультфильм,3
92c85bfe-f1a7-43e9-b63e-f02287023a73,,0,Семейный Боевик Комедия,8 6 1
9212a8eb-f4f6-4113-86b7-15e93d2b0822,,0,Фэнтези Мелодрама,5 2
92102d34-2334-422a-949f-6cf87b415b10,,0,Вестерн История Биография Приключения,17 16 14 7
8e5896ef-0f97-4d52-9e25-f4101d233d95,Male,19,Аниме Детектив Драма Мелодрама,15 12 9 2
8deabc01-0ec1-4d2f-8dde-d593c665e97c,,0,Фэнтези Комедия,5 1
8cf4526f-fc1a-4ab1-9c27-51bf834eb589,,0,Фэнтези Фантастика,5 4
7e61452d-e040-4653-bc72-2f3186308ca9,,0,Детектив,12
7cf9e2e4-e34f-41d5-b811-b9c4aeb5839f,,0,Приключения Фантастика Комедия,7 4 1
7bc2af9d-909e-4187-bb72-a608e1aeb968,,0,,
78f75e06-2162-4b1c-852e-712e3df3c347,,0,,
6e382540-3e93-469d-ba09-4037c4fc721b,,0,,
6cf4c52e-5770-44f2-b598-dcd2b897b841,,0,Фэнтези,5
67f664ea-03b7-427a-a302-d2daeeae6209,,0,,
5fc3df5b-0141-4afe-95bc-77b17bba1911,,6,Комедия,1
5b95b64a-f72b-428a-87fe-2a49ac0ba12e,,0,Фантастика,4
58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,Female,23,Фантастика Мультфильм,4 3
57ca8f1f-0d8d-4a6b-b9b3-18700b3e04f4,,0,,
53cb716d-3187-49ec-bc24-3623390d4c25,Female,57,Вестерн История Аниме,17 16 15
53bba5e3-97ec-4a5c-a0e8-96d14341b126,,36,Семейный Мультфильм Мелодрама Комедия,8 3 2 1
51019bce-acad-4b3b-b805-e14d3cc0736a,,0,Фантастика,4
5018f760-a526-42ff-bf8e-47d439a48790,Female,0,Ужасы Детектив Криминал Аниме Мелодрама Семейный Драма Мультфильм Биография Фантастика Фэнтези,10 12 13 15 2 8 9 3 14 4 5
4a1761d8-33db-456b-b1bd-55c07044f81d,,0,Аниме Биография,15 14
4a01ed61-cf28-4ec2-aa18-a97a2462bd74,,0,Боевик Фэнтези Мультфильм,6 5 3
46f63f95-2e4c-4856-bd1c-cb5c516e4207,,0,Аниме Детектив Триллер Ужасы Приключения,15 12 11 10 7
3650935b-b38b-48c5-80bb-45dfc4757ffe,,0,Боевик Комедия,6 1
3582f680-98ef-4ba7-9b91-53dc5affc7c9,,0,Детектив Драма Комедия,12 9 1
2c9e582c-dc3b-4101-a1c9-f294da18c6b6,,0,Фэнтези Фантастика,5 4
2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,Female,20,Драма Семейный Приключения Мелодрама Комедия,9 8 7 2 1
22c09075-1aa9-4cd7-a6c5-9d21b50f284b,,0,Вестерн,17
2001a046-092e-4cbf-a95d-2360ee0d63a0,,0,Драма Семейный Приключения Фантастика Комедия,9 8 7 4 1
1b8fd4c0-f30f-4dcd-952b-000431d86e0a,Male,5,Комедия Мелодрама Мультфильм Фантастика Фэнтези Боевик Приключения Семейный Драма Ужасы Детектив Криминал Биография Аниме История Вестерн Триллер,1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 11
124dc59c-3133-45a2-99c6-820543bee419,Male,38,Детектив Драма Семейный Приключения Боевик Мультфильм Комедия,12 9 8 7 6 3 1
0bf75bc5-8431-4e02-88eb-3ef151c4d18d,,0,Комедия,1
053665b0-e32c-48a3-866b-a5c551dcc181,Male,47,Фантастика Комедия,4 1
